Customer Tier,Transaction date,Replace,Remove,Firedoor,Drop Test,Bumpers,Is_customer_Lenworth,Specialty Door,Dock Seal,Door(general),Hardware/Parts,Dimensions,Column1,Work_type,sqft_services,Flat_Services,Operator/Opener,Install,Quantity,Sales price,Amount,Totals,Distance,service,Distance Tier,unique,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,door_width,door_height,door_sqft,size_source,size_confidence,size_note
Recurring,07/07/2021,0,0,0,0,0,0,0,0,0,0,,,Install,,Dock Seal,0,1,1.0,14200.0,14200.0,16046.0,216.53, Install,2,,,,,,,,,standard_default,low,no_size_applicable
New,29/03/2023,0,0,0,0,0,0,0,0,1,0,16 * 16,,Other/Misc,Door (General),Operator/Opener,0,0,1.0,10930.0,10930.0,12350.9,696.34,,5,,,,,,,,,standard_default,low,no_size_applicable
Recurring,10/12/2025,0,0,0,0,0,0,0,0,1,0,9 * 10,,Install,Door (General),,0,1,1.0,550.0,9900.0,11187.0,44.0,Door (General) Install,0,,,,, Install,,,,standard_default,low,no_size_applicable
New,29/03/2023,0,0,0,0,0,0,0,0,1,0,14 * 14,,Other/Misc,Door (General),Operator/Opener,0,0,1.0,8535.0,8535.0,9644.55,696.34,,5,,,,,High Speed Door Install,,,,standard_default,low,no_size_applicable
Loyalty,28/05/2024,1,0,0,0,0,1,0,0,1,0,9 * 10,,Replace,Door (General),,0,0,1.0,8150.0,8150.0,9209.5,143.9,,1,,,,,Other/Misc Install,,,,standard_default,low,no_size_applicable
New,21/03/2023,0,0,0,0,0,0,0,0,1,0,10 * 8,,Supply Only,Door (General),,0,0,2.0,8560.0,8560.0,9672.8,338.24,,3,,,,,,,,,standard_default,low,no_size_applicable
Recurring,16/04/2025,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,8.0,33100.0,33100.0,37403.0,20.4,,0,,,,,,,,,standard_default,low,no_size_applicable
New,18/11/2024,0,0,0,0,0,0,0,0,1,0,12 * 12,,Supply Only,Door (General),,0,0,1.0,4100.0,4100.0,4633.0,169.0,,1,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,20/11/2021,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,100.0,3600.0,4068.0,109.0,Door (General) Install,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,22/04/2023,0,1,0,0,0,0,0,0,1,0,20.6 * 22,,Remove and Replace,Door (General),,0,0,1.0,3500.0,3500.0,3955.0,45.1,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,10/04/2024,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,2.0,6200.0,6200.0,7006.0,83.94,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,20/03/2023,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,1.0,3040.0,3040.0,3435.2,63.41,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,29/07/2023,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,1.0,3000.0,3000.0,3390.0,139.8,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,17/05/2022,0,0,0,0,0,0,0,0,1,0,9 * 10,,Supply Only,Door (General),,0,0,2.0,2820.0,5640.0,6373.2,163.0,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,26/07/2022,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,1.0,2800.0,2800.0,3164.0,29.0,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,01/10/2024,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,1.0,2450.0,2450.0,2768.5,212.53,,2,,,,,,,,,standard_default,low,no_size_applicable
Recurring,19/08/2023,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,2.0,4700.0,4700.0,5311.0,56.19,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,11/10/2023,1,0,0,0,0,0,0,0,1,0,16 * 16,,Replace,Door (General),,0,0,1.0,2300.0,2300.0,2599.0,55.09,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,14/06/2023,0,1,0,0,0,0,0,0,0,0,14 * 14,,Remove and Replace,Traffic/Crash Door,,0,0,2.0,4500.0,4500.0,5085.0,63.41,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,28/02/2023,0,0,0,0,0,0,0,0,1,0,,,Labor,Door (General),,0,0,1.0,2150.0,2150.0,2429.5,66.56,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,31/12/2022,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,1.0,2100.0,2100.0,2373.0,0.51,,0,,,,,,,,,standard_default,low,no_size_applicable
New,26/07/2022,0,0,0,0,0,0,0,0,1,0,10 * 8,,Other/Misc,Door (General),,0,0,2.0,2040.0,4080.0,4610.4,313.04,,3,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,16/10/2021,0,0,0,0,0,1,0,0,0,0,,,Relocate,Fire Door,,0,0,1.0,2000.0,2000.0,2260.0,318.22,,3,,,,,,,,,standard_default,low,no_size_applicable
Recurring,26/07/2022,0,0,0,0,0,0,0,0,1,0,8 * 7,,Other/Misc,Door (General),,0,0,1.0,1955.0,1955.0,2209.15,231.4,,2,,,,,,,,,standard_default,low,no_size_applicable
Recurring,03/05/2024,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,1.0,1800.0,1800.0,2034.0,163.12,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,22/04/2024,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,1.0,1800.0,1800.0,2034.0,328.0,,3,,,,,,,,,standard_default,low,no_size_applicable
Recurring,25/01/2024,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,1.0,1800.0,1800.0,2034.0,329.07,,3,,,,,,,,,standard_default,low,no_size_applicable
New,22/10/2022,0,0,0,0,0,0,0,0,1,0,,,Modify,Door (General),,0,0,1.0,1675.0,1675.0,1892.75,281.96,,2,,,,,,,,,standard_default,low,no_size_applicable
Recurring,21/03/2026,0,1,0,0,0,0,0,0,1,0,14 * 14,,Remove and Replace,Door (General),,0,0,1.0,1600.0,1600.0,1808.0,50.0,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,22/10/2022,0,1,0,0,0,1,0,0,1,0,,,Remove and Replace,Door (General),,0,0,11.0,1600.0,17600.0,19888.0,59.08,,0,,,,,,,,,standard_default,low,no_size_applicable
New,03/10/2022,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,1.0,1550.0,1550.0,1751.5,40.54,,0,,,,,,,,,standard_default,low,no_size_applicable
New,26/07/2022,0,0,0,0,0,0,0,0,1,0,,,Supply Only,Door (General),,0,0,1.0,1550.0,1550.0,1751.5,108.0,,1,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,01/07/2025,1,0,0,0,0,1,0,0,1,0,,,Replace,Door (General),Operator/Opener,0,0,2.0,1500.0,3000.0,3390.0,23.0,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,30/06/2022,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),Operator/Opener,0,0,1.0,1500.0,1500.0,1695.0,45.1,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,24/07/2023,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,1.0,1500.0,1500.0,1695.0,49.09,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,27/02/2023,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,1.0,1500.0,1500.0,1695.0,55.09,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,24/07/2023,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),Operator/Opener,0,0,1.0,1500.0,1500.0,1695.0,59.68,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,01/06/2024,0,0,0,0,0,0,0,0,0,0,,,Labor,,Extra Work,0,0,1.0,1500.0,1500.0,1695.0,91.0,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,23/04/2022,1,0,0,0,0,0,0,0,1,0,,,Replace,Door (General),,0,0,1.0,1500.0,1500.0,1695.0,115.05,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,05/02/2022,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,1.0,1200.0,1200.0,1356.0,58.0,,0,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,29/12/2023,0,0,0,0,0,1,0,0,0,0,,,Labor,,Extra Work,0,0,1.0,1200.0,1200.0,1356.0,200.0,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,27/10/2025,0,0,0,0,0,0,0,0,0,0,,,Relocate,,Extra Work,0,0,1.0,1200.0,1200.0,1356.0,316.79,,3,,,,,,,,,standard_default,low,no_size_applicable
Recurring,31/12/2022,0,0,0,0,0,0,0,0,1,0,,,Other/Misc,Door (General),,0,0,1.0,1200.0,1200.0,1356.0,682.64,,5,,,,,,,,,standard_default,low,no_size_applicable
Recurring,24/10/2020,0,0,0,0,0,0,0,0,1,0,,,Other/Misc,Door (General),,0,0,1.0,1105.0,1105.0,1248.65,231.4,,2,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,04/08/2025,0,0,0,0,0,1,0,0,1,0,,,"Labor
",Door (General),,0,0,11.0,1100.0,12100.0,13673.0,190.5,,1,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,28/03/2023,0,0,0,0,0,1,0,0,1,0,,,Supply Only,Door (General),,0,0,1.0,1050.0,1050.0,1186.5,30.57,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,15/05/2023,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,1.0,1000.0,1000.0,1130.0,33.51,,0,,,,,,,,,standard_default,low,no_size_applicable
