Customer Tier,Transaction date,Replace,Remove,Firedoor,Drop Test,Bumpers,Is_customer_Lenworth,Specialty Door,Dock Seal,Door(general),Hardware/Parts,Dimensions,Column1,Work_type,sqft_services,Flat_Services,Operator/Opener,Install,Quantity,Sales price,Amount,Totals,Distance,service,Distance Tier,unique,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,door_width,door_height,door_sqft,size_source,size_confidence,size_note
Recurring,02/10/2023,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,22000.0,22000.0,24860.0,61.63,Door (General) Install,0,,,,,,,,3635.0,back_calculated,high,back_calculated | raw=3636.4 snapped=3635
Loyalty,20/12/2024,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,20200.0,20200.0,22826.0,49.68,Door (General) Install,0,,,,,,,,4590.0,back_calculated,high,back_calculated | raw=4590.9 snapped=4590
Loyalty,13/02/2026,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,,17000.0,17000.0,19210.0,170.0,Door (General) Install,1,,,,,,,,3865.0,back_calculated,high,back_calculated | raw=3863.6 snapped=3865
Recurring,07/07/2021,0,0,0,0,0,0,0,0,0,0,,,Install,,Dock Seal,0,1,1.0,14200.0,14200.0,16046.0,216.53, Install,2,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,27/02/2023,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,13335.0,13335.0,15068.55,8.98,Door (General) Install,0,,,,,,,,3030.0,back_calculated,high,back_calculated | raw=3030.7 snapped=3030
Loyalty,15/03/2022,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,12000.0,12000.0,13560.0,122.09,Door (General) Install,1,,,,,,,,2725.0,back_calculated,high,back_calculated | raw=2727.3 snapped=2725
New,29/03/2023,0,0,0,0,0,0,0,0,1,0,16 * 16,,Other/Misc,Door (General),Operator/Opener,0,0,1.0,10930.0,10930.0,12350.9,696.34,,5,,,,,,,,,standard_default,low,no_size_applicable
Loyalty,27/02/2025,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,1.0,10910.0,10910.0,12328.3,129.9,Door (General) Install,1,,,,,,,,2480.0,back_calculated,high,back_calculated | raw=2479.5 snapped=2480
New,03/10/2022,0,0,0,0,0,0,0,0,1,0,14 * 16,,Supply & Install,Door (General),Operator/Opener,0,0,1.0,10080.0,10080.0,11390.4,281.96,Door (General) Supply & Install,2,,,,,Door (General) Install,,,1665.0,back_calculated,high,back_calculated | raw=1666.1 snapped=1665
Recurring,10/12/2025,0,0,0,0,0,0,0,0,1,0,9 * 10,,Install,Door (General),,0,1,1.0,550.0,9900.0,11187.0,44.0,Door (General) Install,0,,,,, Install,,,,standard_default,low,no_size_applicable
Loyalty,03/03/2021,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,,9600.0,9600.0,10848.0,167.35,Door (General) Install,1,,,,,0,,,2180.0,back_calculated,high,back_calculated | raw=2181.8 snapped=2180
Recurring,13/06/2023,0,0,0,0,0,0,0,0,1,0,16 * 14,,Supply & Install,Door (General),Operator/Opener,0,0,1.0,8810.0,8810.0,9955.3,349.43,Door (General) Supply & Install,3,,,,,Door (General) Supply & Install,,,1455.0,back_calculated,high,back_calculated | raw=1456.2 snapped=1455
New,29/03/2023,0,0,0,0,0,0,0,0,1,0,14 * 14,,Other/Misc,Door (General),Operator/Opener,0,0,1.0,8535.0,8535.0,9644.55,696.34,,5,,,,,High Speed Door Install,,,,standard_default,low,no_size_applicable
Loyalty,19/08/2023,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,20.0,30975.0,30975.0,35001.75,51.68,Door (General) Install,0,,,,,High Speed Door Supply & Install,,,7040.0,back_calculated,high,back_calculated | raw=7039.8 snapped=7040
Loyalty,28/05/2024,1,0,0,0,0,1,0,0,1,0,9 * 10,,Replace,Door (General),,0,0,1.0,8150.0,8150.0,9209.5,143.9,,1,,,,,Other/Misc Install,,,,standard_default,low,no_size_applicable
Recurring,03/02/2021,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,1.0,8030.0,8030.0,9073.9,185.77,Door (General) Install,1,,,,,Fire Door Install,,,1325.0,back_calculated,high,back_calculated | raw=1327.3 snapped=1325
Loyalty,05/02/2022,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,7500.0,7500.0,8475.0,95.71,Door (General) Install,0,,,,,Traffic/Crash Door Install,,,1705.0,back_calculated,high,back_calculated | raw=1704.5 snapped=1705
Recurring,24/07/2023,0,0,0,0,0,0,0,0,1,0,9 * 7,,Supply & Install,Door (General),,0,0,1.0,7340.0,7340.0,8294.2,249.85,Door (General) Supply & Install,2,,,,,Remote/Photo Eye Install,,,1215.0,back_calculated,high,back_calculated | raw=1213.2 snapped=1215
Recurring,08/07/2021,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,6980.0,6980.0,7887.4,164.0,Door (General) Install,1,,,,,Hardware/Parts Install,,,1155.0,back_calculated,high,back_calculated | raw=1153.7 snapped=1155
