Quantity,Door_Size2,Transaction date,Is_customer_Lenworth2,Distance,Bumpers2,Operator/Opener2,Dock Seal2,Install2,Door(general)2,Drop Test2,Hardware/Parts2,Specialty Door2,Firedoor2,Replace2
1,382,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,1,7,0,1,0,0,0,0,0,0,0,0
1,491,0,1,9,0,0,0,1,0,0,0,0,0,0
1,55,0,1,9,0,0,0,0,0,0,0,0,0,1
1,2425,0,1,9,0,0,0,1,1,0,0,0,0,0
3,0,0,1,9,0,0,0,1,0,0,1,0,0,0
2,295,0,1,9,0,0,0,1,0,0,0,0,1,0
2,159,0,1,9,0,0,0,1,1,0,0,0,0,0
1,0,0,0,12,0,0,1,0,0,0,0,0,0,0
3,136,0,0,13,0,0,0,0,1,0,0,0,0,1
5,127,0,0,15,0,0,0,0,1,0,0,0,0,1
5,0,0,0,15,0,0,1,0,0,0,0,0,0,0
5,0,0,0,15,0,0,1,1,0,0,0,0,0,0
1,0,0,1,17,0,0,0,0,0,0,1,0,0,0
2,109,0,1,17,0,0,0,1,1,0,0,0,0,0
11,145,0,1,17,0,0,0,1,0,0,0,0,0,0
1,0,0,1,17,0,0,0,1,0,0,1,0,0,0
49,64,0,1,17,0,0,0,1,1,0,0,0,0,0
2,273,0,1,17,0,0,0,1,1,0,0,0,0,0
1,0,0,1,17,0,0,0,0,0,0,0,0,0,0
5,33,0,0,18,0,0,0,1,0,0,0,0,0,0
1,1091,0,0,18,0,0,0,1,0,0,0,0,0,0
1,0,0,1,18,0,0,0,1,0,0,1,0,0,0
12,152,0,1,18,0,0,0,1,0,0,0,0,1,0
1,164,0,1,18,0,0,0,0,1,0,0,0,0,1
1,55,0,1,18,0,0,0,0,0,0,0,0,0,0
2,73,0,0,19,0,0,0,1,1,0,0,0,0,0
2,218,0,0,19,0,0,0,1,0,0,0,0,0,0
1,473,0,0,19,0,0,0,1,0,0,0,0,0,0
8,752,0,0,20,0,0,0,0,1,0,0,0,0,0
3,36,0,0,21,0,0,0,0,0,0,0,0,0,0
3,242,0,1,21,0,0,0,1,0,0,0,0,0,0
7,127,0,0,21,0,0,0,1,0,0,0,0,0,0
2,118,0,0,21,0,0,0,1,0,1,0,0,0,0
1,0,0,1,22,0,0,0,0,0,0,1,0,0,0
11,91,0,0,22,0,0,0,1,1,0,0,0,0,0
1,727,0,1,22,0,0,0,1,0,0,0,0,0,0
1,100,0,0,23,0,0,0,1,0,0,0,0,0,0
1,127,0,0,23,0,0,0,0,1,0,0,0,0,0
3,0,0,0,23,0,0,0,1,0,0,1,0,0,0
2,273,0,1,23,0,0,0,0,0,0,0,0,0,1
1,144,0,0,24,0,0,0,1,0,0,0,0,0,0
1,0,0,1,24,1,0,0,1,0,0,0,0,0,0
1,200,0,0,27,0,0,0,1,1,0,0,0,0,0
2,168,0,1,27,0,0,0,1,0,0,0,0,0,0
1,182,0,1,28,0,0,0,1,1,0,0,0,0,0
2,173,0,1,28,0,0,0,1,0,0,0,0,0,0
25,64,0,1,28,0,0,0,1,0,0,0,0,0,0
1,160,0,1,28,0,0,0,1,0,0,0,0,0,0
1,0,0,1,28,0,0,0,1,0,0,1,0,0,0
1,509,0,0,29,0,0,0,0,1,0,0,0,0,0
1,436,0,0,30,0,0,0,1,0,0,0,0,0,0
1,191,0,1,31,0,0,0,0,0,0,0,0,0,0
2,118,0,0,31,0,0,0,1,0,0,0,0,0,0
1,0,0,0,32,0,0,1,0,0,0,0,0,0,0
6,0,0,0,32,0,0,0,1,0,0,1,0,0,0
1,144,0,0,32,0,0,0,1,0,0,0,0,0,0
1,120,0,0,32,0,0,0,0,1,0,0,0,0,0
3,145,0,0,34,0,0,0,1,1,0,0,0,0,0
1,182,0,0,34,0,0,0,0,1,0,0,0,0,0
1,73,0,0,34,0,0,0,0,1,0,0,0,0,0
1,82,0,0,34,0,0,0,0,1,0,0,0,0,1
1,595,0,0,34,0,0,0,0,1,0,0,0,0,0
11,30,0,0,34,0,0,0,0,1,0,0,0,0,0
1,73,0,0,34,0,0,0,1,0,0,0,0,0,0
1,91,0,0,34,0,0,0,1,0,0,0,0,0,0
19,122,0,1,34,0,0,0,1,0,0,0,0,0,0
10,36,0,0,34,0,0,0,1,0,0,0,0,0,0
1,91,0,0,35,0,0,0,0,1,0,0,0,0,1
2,8,0,0,35,0,0,0,1,0,0,0,0,0,0
1,145,0,0,36,0,0,0,0,0,0,0,0,0,0
3,136,0,0,37,0,0,0,0,1,0,0,0,0,1
1,473,0,0,37,0,0,0,1,0,0,0,0,0,0
1,273,0,1,37,0,0,0,1,1,0,0,0,0,0
1,236,0,0,38,0,0,0,1,1,0,0,0,0,0
1,373,0,0,38,0,0,0,0,1,0,0,0,0,0
2,152,0,1,38,0,0,0,0,1,0,0,0,0,0
1,0,0,0,40,0,0,1,1,0,0,0,0,0,0
1,255,0,0,40,0,0,0,1,0,0,0,0,0,0
1,282,0,0,41,0,0,0,0,1,0,0,0,0,0
1,0,0,0,41,0,0,0,1,0,0,0,0,0,0
16,0,0,0,41,0,0,0,1,0,0,1,0,0,0
1,0,0,0,41,0,0,0,1,0,0,0,0,0,0
2,0,0,0,41,0,0,0,1,0,0,1,0,0,0
1,436,0,0,41,0,0,0,1,0,0,0,0,0,0
2,0,0,0,41,0,0,0,1,0,0,1,0,0,0
8,0,0,0,41,0,0,0,1,0,0,1,0,0,0
1,82,0,0,41,0,0,0,1,1,0,0,0,0,0
2,145,0,0,42,0,0,0,1,1,0,0,0,0,0
1,182,0,1,43,0,0,0,0,1,0,0,0,0,0
1,364,0,0,43,0,0,0,1,0,0,0,0,1,0
2,700,0,1,43,0,0,0,0,0,0,0,0,0,0
1,250,0,1,43,0,0,0,1,0,0,0,0,1,0
1,109,0,0,43,0,0,0,0,0,0,0,0,0,0
1,109,0,0,43,0,0,0,0,0,0,0,0,0,0
12,91,0,1,44,0,0,0,1,0,0,0,0,0,0
1,1800,0,0,44,0,0,0,1,1,0,0,0,0,0
1,145,0,1,44,0,0,0,1,0,0,0,0,0,0
3,45,0,1,44,0,0,0,0,1,0,0,0,0,0
3,121,0,1,44,0,0,0,1,1,0,0,0,0,0
2,114,0,0,45,0,0,0,0,1,0,0,0,0,0
1,273,0,0,45,0,0,0,0,0,0,0,0,0,0
2,127,0,0,45,0,0,0,1,0,0,0,0,1,0
1,636,0,0,45,0,0,0,0,1,0,0,0,0,0
1,218,0,0,46,0,0,0,1,0,0,0,0,1,0
3,136,0,0,46,0,0,0,0,0,0,0,0,0,0
1,91,0,1,46,0,0,0,0,1,0,0,0,0,0
9,55,0,0,46,0,0,0,1,0,0,0,0,0,0
1,127,0,0,46,0,0,0,0,1,0,0,0,0,0
1,255,0,0,46,0,0,0,1,0,0,0,0,0,0
2,182,0,1,47,0,0,0,1,1,0,0,0,0,0
5,131,0,0,47,0,0,0,1,1,0,0,0,0,0
1,36,0,0,47,0,0,0,0,1,0,0,0,0,0
1,0,0,0,47,0,0,1,0,0,0,0,0,0,0
3,188,0,1,48,0,0,0,1,1,0,0,0,0,0
2,136,0,0,49,0,0,0,0,1,0,0,0,0,0
1,273,0,0,49,0,0,0,0,1,0,0,0,0,1
3,10,0,0,50,0,0,0,0,0,0,0,0,0,0
6,18,0,0,50,0,0,0,0,1,0,0,0,0,0
1,520,0,0,50,0,0,0,0,1,0,0,0,0,0
1,0,0,0,50,0,0,0,0,0,0,1,0,0,0
1,0,0,0,50,0,0,0,0,0,0,1,0,0,1
1,3673,0,1,50,0,0,0,1,1,0,0,0,0,0
1,291,0,0,50,0,0,0,0,1,0,0,0,0,0
2,245,0,1,50,0,0,0,1,1,0,0,0,0,0
1,10,0,0,50,0,0,0,0,0,0,0,0,0,0
5,185,0,0,50,0,0,0,1,0,0,0,0,0,0
1,355,0,0,50,0,0,0,1,0,0,0,0,0,0
3,109,0,1,51,0,0,0,1,0,0,0,0,0,0
2,91,0,1,51,0,0,0,1,1,0,0,0,0,0
1,200,0,1,51,0,0,0,1,0,0,0,0,0,0
2,164,0,1,51,0,0,0,0,1,0,0,0,0,0
6.5,18,0,0,51,0,0,0,0,0,0,0,0,0,0
1,0,0,1,51,0,0,0,0,0,0,1,0,0,0
2,255,0,1,51,0,0,0,1,1,0,0,0,0,0
1,0,0,1,51,0,0,0,0,0,0,1,0,0,0
2,0,0,1,51,0,0,0,0,0,0,0,0,0,0
4,73,0,1,51,0,0,0,1,1,0,0,0,0,0
2,0,0,1,52,0,0,0,0,0,0,0,0,0,0
1,1103,0,1,52,0,0,0,1,1,0,0,0,0,0
1,182,0,1,52,0,0,0,1,1,0,0,0,0,0
1,1171,0,1,52,0,0,0,1,1,0,0,0,0,0
2,127,0,1,52,0,0,0,1,1,0,0,0,0,0
2,73,0,1,52,0,0,0,1,1,0,0,0,0,0
1,900,0,0,52,0,0,0,0,1,0,0,0,0,0
1,0,0,0,52,0,1,0,1,0,0,0,0,0,0
1,182,0,1,52,0,0,0,0,0,0,0,0,0,0
2,0,0,1,52,0,0,0,0,0,0,0,0,0,0
17,179,0,1,52,0,0,0,1,0,0,0,0,1,0
20,1500,0,1,52,0,0,0,1,1,0,0,0,0,0
1,909,0,1,52,0,0,0,1,1,0,0,0,0,0
78,91,0,1,52,0,0,0,1,0,0,0,0,0,0
14,309,0,1,52,0,0,0,1,0,0,0,1,0,0
3.5,18,0,1,52,0,0,0,0,0,0,0,0,0,0
1,182,0,1,52,0,0,0,1,1,0,0,0,0,0
4,309,0,1,52,0,0,0,1,0,0,0,0,0,0
1,0,0,1,53,0,0,0,1,0,0,1,0,0,0
1,436,0,0,53,0,0,0,1,0,0,0,0,0,0
4,191,0,1,53,0,0,0,1,1,0,0,0,0,0
14,127,0,1,53,0,0,0,1,0,0,0,0,0,0
1,473,0,0,54,0,0,0,1,0,0,0,0,0,0
1,36,0,0,54,0,0,0,0,1,0,0,0,0,0
1,0,0,1,54,0,0,0,0,0,0,0,0,0,0
1,473,0,0,54,0,0,0,1,0,0,0,0,0,0
1,0,0,1,54,0,0,0,0,0,0,0,0,0,0
1,118,0,0,55,0,0,0,0,0,0,0,0,0,0
2.5,18,0,1,55,0,0,0,1,1,0,0,0,0,0
2,0,0,0,55,0,1,0,0,0,0,0,0,0,0
1,0,0,0,55,0,0,1,0,0,0,0,0,0,0
2,132,0,0,55,0,0,0,1,0,0,0,0,0,0
1,273,0,0,55,0,0,0,0,0,0,0,0,0,0
1,418,0,0,55,0,0,0,0,1,0,0,0,0,1
1,20,0,0,55,0,0,0,1,0,0,0,0,0,0
1,0,0,1,56,0,0,0,0,0,0,0,0,0,0
18,72,0,1,56,0,0,0,1,1,0,0,0,0,0
22,72,0,1,56,0,0,0,1,1,0,0,0,0,0
1,218,0,0,56,0,0,0,1,0,0,0,0,0,0
1,182,0,1,56,0,0,0,0,0,0,0,0,0,1
1,136,0,0,56,0,0,0,1,0,1,0,0,0,0
9,0,0,0,56,0,0,1,1,0,0,0,0,0,0
2,427,0,0,56,0,0,0,0,1,0,0,0,0,1
3,206,0,1,57,0,0,0,1,1,0,0,0,0,0
1,764,0,0,58,0,0,0,1,0,0,0,0,0,0
1,218,0,0,58,0,0,0,0,0,0,0,0,0,0
1,182,0,0,58,0,0,0,1,0,0,0,0,0,0
1,655,0,0,58,0,0,0,1,0,0,0,0,0,0
1,473,0,0,58,0,0,0,1,0,0,0,0,0,0
1,436,0,0,58,0,0,0,1,0,0,0,0,0,0
1,327,0,0,59,0,0,0,1,1,0,0,0,0,0
1,0,0,1,59,0,0,0,0,0,0,0,0,0,0
11,291,0,1,59,0,0,0,0,1,0,0,0,0,0
2,64,0,1,59,0,0,0,0,0,0,0,0,0,1
11,116,0,1,59,0,0,0,1,1,0,0,0,0,0
1,273,0,0,60,0,0,0,0,0,0,0,0,0,0
1,273,0,0,60,0,0,0,1,0,0,0,0,0,0
1,109,0,0,60,0,0,0,0,1,0,0,0,0,1
1,436,0,0,61,0,0,0,1,0,0,0,0,0,0
1,182,0,1,61,0,0,0,0,1,0,0,0,0,0
8,127,0,1,61,0,0,0,1,0,0,0,0,0,0
1,100,0,1,61,0,0,0,1,0,0,0,0,0,0
1,4000,0,0,62,0,0,0,1,0,0,0,0,0,0
3,250,0,1,63,0,0,0,1,1,0,0,0,0,0
55,110,0,0,63,0,0,0,1,1,0,0,0,0,0
1,0,0,0,63,0,0,1,1,0,0,0,0,0,0
1,553,0,0,63,0,0,0,0,1,0,0,0,0,0
2,409,0,0,63,0,0,0,0,0,0,0,0,0,0
